Feature_Set,Classifier,F1_Score_Macro
Contrast + Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception,RandomForest,0.9624910618949236
Contrast + DarkChannel + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9624870557568702
Contrast + Edge + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9624870557568702
Edge + DarkChannel + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9624870557568702
Edge + HOG + SpatialFreq + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.962483283465515
DarkChannel + HOG + SpatialFreq + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.962483283465515
Contrast + Edge + DarkChannel + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9624717628894899
Edge + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.962467414521516
DarkChannel + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.962467414521516
LBP + HOG + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.962465363285674
Edge + DarkChannel + HOG + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9624607759422033
Contrast + Edge + HOG + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9624607759422033
Contrast + DarkChannel + HOG + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9624607759422033
LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9624508316835142
Contrast + DarkChannel + HOG + SpatialFreq + DL_Inception + DL_ResNet,RandomForest,0.9624480013670519
Edge + DarkChannel + HOG + SpatialFreq + DL_Inception + DL_ResNet,RandomForest,0.9624480013670519
Contrast + Edge + HOG + SpatialFreq + DL_Inception + DL_ResNet,RandomForest,0.9624480013670519
DarkChannel + LBP + HOG + SpatialFreq + DL_ResNet,RandomForest,0.962447817804102
Contrast + LBP + HOG + SpatialFreq + DL_ResNet,RandomForest,0.962447817804102
Edge + LBP + HOG + SpatialFreq + DL_ResNet,RandomForest,0.962447817804102
Edge + DarkChannel + LBP + HOG + DL_Inception + DL_ResNet,RandomForest,0.9624440662522329
Contrast + Edge + HOG + DL_Inception + DL_EfficientNet,RandomForest,0.9624397160970771
Contrast + DarkChannel + HOG + DL_Inception + DL_EfficientNet,RandomForest,0.9624397160970771
Contrast + Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.96243965821142
HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.962432095918005
Contrast + Edge + LBP + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.962431739999739
Edge + DarkChannel + LBP + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.962431739999739
Contrast + DarkChannel + LBP + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.962431739999739
DarkChannel + LBP + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.962425491412916
Edge + LBP + HOG + SpatialFreq,RandomForest,0.9624213326122414
DarkChannel + LBP + HOG + SpatialFreq,RandomForest,0.9624213326122414
Contrast + LBP + HOG + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9624196543523015
DarkChannel + LBP + HOG + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9624196543523015
Edge + LBP + HOG + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9624196543523015
DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9624196214124652
Edge + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9624196214124652
Contrast + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9624196214124652
Contrast + Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_EfficientNet,RandomForest,0.9624188721116684
Edge + LBP + HOG + SpatialFreq + DL_Inception + DL_EfficientNet,RandomForest,0.9624166161704887
DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_EfficientNet,RandomForest,0.9624166161704887
Contrast + LBP + HOG + SpatialFreq + DL_Inception + DL_EfficientNet,RandomForest,0.9624166161704887
Contrast + Edge + HOG + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9624159298266383
Contrast + DarkChannel + HOG + DL_Inception + DL_ResNet,RandomForest,0.9624155329378535
Edge + DarkChannel + HOG + DL_Inception + DL_ResNet,RandomForest,0.9624155329378535
DarkChannel + LBP + HOG + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9623945232499471
Edge + LBP + HOG + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9623945232499471
Contrast + LBP + HOG + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9623945232499471
Contrast + Edge + DarkChannel + HOG + SpatialFreq + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9614318415482185
Contrast + HOG + DL_Inception,RandomForest,0.9614240901475932
Contrast + DarkChannel + HOG + DL_ResNet,RandomForest,0.9614203586692429
DarkChannel + HOG + SpatialFreq,RandomForest,0.9614078768918496
Contrast + HOG + SpatialFreq,RandomForest,0.9614078768918496
LBP + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.9614057485820938
DarkChannel + LBP + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.9614039840133447
Edge + LBP + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.9614039840133447
Contrast + LBP + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.9614039840133447
Contrast + DarkChannel + HOG + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9614009037777702
Contrast + Edge + HOG + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9614009037777702
Edge + DarkChannel + HOG + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9614009037777702
HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.961400151356913
Contrast + Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet,RandomForest,0.9613983929061485
Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613968970950136
Contrast + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613968970950136
Contrast + Edge + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613968970950136
Contrast + Edge + DarkChannel + LBP + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.9613938421418737
Contrast + Edge + DarkChannel + LBP + HOG + DL_ResNet + DL_EfficientNet,RandomForest,0.9613938262415308
HOG + SpatialFreq + DL_EfficientNet,RandomForest,0.9613927163534937
LBP + HOG + DL_Inception + DL_ResNet,RandomForest,0.9613882970366436
LBP + HOG + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9613857432573146
HOG + DL_EfficientNet,RandomForest,0.9613856798316025
Contrast + Edge + HOG + DL_Inception,RandomForest,0.9613836040860549
